tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,belum/tidakbekerja,mengurus_rumah_tangga,pelajar/mahasiswa,pensiunan,pegawai_negeri_sipil,tentara_nasional_indonesia,kepolisian_ri,perdagangan,petani_pekebun,peternak,nelayan/perikanan,industri,konstruksi,transportasi,karyawan_swasta,karyawan_bumn,karyawan_bumd,karyawan_honorer,buruh_harian_lepas,buruh_tani_perkebunan,buruh_nelayan_perikanan,buruh_peternakan,pembantu_rumah_tangga,tukang_cukur,tukang_listrik,tukang_batu,tukang_kayu,tukang_sol_sepatu,tukang_las_pandai_besi,tukang_jahit,tukang_gigi,penata_rias,penata_busana,penata_rambut,mekanik,seniman,tabib,paraji,perancang_busana,penterjemah,imam_mesjid,pendeta,pastor,wartawan,ustadz_mubaligh,juru_masak,promotor_acara,anggota_dpr_ri,anggota_dpd,anggota_bpk,presiden,wakil_presiden,anggota_mahkamah_konstitusi,anggota_kabinet_kementerian,duta_besar,gubernur,wakil_gubernur,bupati,wakil_bupati,walikota,wakil_walikota,anggota_dprd_provinsi,anggota_dprd_kabupaten_kota,dosen,guru,pilot,pengacara,notaris,arsitek,akuntan,konsultan,dokter,bidan,perawat,apoteker,psikiater_psikolog,penyiar_televisi,penyiar_radio,pelaut,peneliti,sopir,pialang,paranormal,pedagang,perangkat_desa,kepala_desa,biarawati,wiraswasta,lainnya,hakim
2014,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,1508,1475,1603,21,185,4,10,6,0,0,918,1,4,0,197,1,0,90,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,101,0,0,0,0,0,0,1,7,9,0,0,0,0,0,0,0,0,0,11,0,0,0,114,24,0
2014,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,1473,1613,1539,9,65,0,9,2,0,1,1051,4,10,0,212,0,0,17,200,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,0,0,0,0,0,0,1,6,6,0,0,0,0,1,0,0,0,0,9,0,0,0,129,10,0
2014,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,476,564,521,2,30,0,2,0,1,0,470,0,2,0,51,0,0,20,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,26,3,0
2014,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,526,507,500,11,39,1,11,8,3,0,284,0,4,0,68,0,0,7,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,14,0,0,0,135,25,0
2014,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,1205,1163,1160,14,117,0,8,4,0,1,776,0,10,0,126,1,1,77,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,4,7,0,0,0,0,19,0,0,0,0,16,0,0,0,152,14,0
2014,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,587,686,722,2,12,1,0,2,1,0,591,0,14,0,33,0,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,5,5,0,0,0,0,1,0,0,0,0,2,0,0,0,67,32,0
2014,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,381,564,780,77,81,133,4,1,0,0,0,2,0,0,956,8,0,5,18,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,3,0,0,0,2,8,4,2,0,1,0,0,4,0,4,0,0,48,0,0,0,256,27,0
2014,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,2458,3709,4271,256,186,17,204,4,0,1,0,5,7,2,5726,27,6,18,163,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,8,7,0,0,0,0,0,11,0,10,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,87,2,17,5,2,0,4,89,4,9,0,0,0,0,4,0,62,0,1,181,0,0,1,1080,201,0
2014,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,3171,4366,4892,119,97,13,7,0,1,0,0,0,1,0,7104,20,1,7,350,0,0,0,11,0,0,0,0,0,0,8,0,0,0,2,10,11,0,0,1,0,0,24,28,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,89,0,6,4,4,2,5,66,2,7,1,0,0,0,2,0,76,0,0,283,0,1,1,991,78,0
2014,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,2459,3443,3815,136,169,664,12,3,0,0,1,7,4,1,5126,24,2,9,238,0,0,0,11,0,0,0,0,0,0,7,0,0,0,1,5,12,0,0,0,0,0,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,62,0,13,6,3,0,3,64,7,7,0,0,0,0,4,0,87,0,1,119,0,0,0,930,134,1
